publication_title,print_identifier,title_url,primary_subject,full_coverage,0,1,2,3,4,5,6,7,8,9,date_first_issue_online,date_last_issue_online,parent_publication_title_id,preceding_publication_title_id,
British School at Athens Studies,2159-4996,http://www.jstor.org/journal/britschoathestud,Archaeology,1995-01-01 - 2013-01-01,Archaeology,Classical Studies,Humanities,Social Sciences,,,,,,,1/1/1995 0:00,2013,,,
British School at Athens. Supplementary Volumes,1464-0813,http://www.jstor.org/journal/britschathsupvol,Archaeology,1966-01-01 - 2012-01-01,Archaeology,Classical Studies,Humanities,Social Sciences,,,,,,,1/1/1966 0:00,2012,,britschathsuppap,
Bulletin (Canadian Archaeological Association),0315-761X,http://www.jstor.org/journal/bullcanaarchasso,Archaeology,1969-01-01 - 1976-01-01,Archaeology,Social Sciences,,,,,,,,,1/1/1969 0:00,1976,canajarch,,
Bulletin of the American Schools of Oriental Research,0003-097X,http://www.jstor.org/journal/bullamerschoorie,Archaeology,1921-09-01 - 2014-11-01,Anthropology,Archaeology,Area Studies,Classical Studies,Humanities,Middle East Studies,Social Sciences,,,,9/1/1921 0:00,2014,,bullamerschoori2,
Bulletin of the American Schools of Oriental Research. Supplementary Studies,0145-3661,http://www.jstor.org/journal/bamschorriressup,Archaeology,1945-01-01 - 1991-01-01,Archaeology,Social Sciences,,,,,,,,,1/1/1945 0:00,1991,,,
Bulletin of the American Society of Papyrologists,0003-1186,http://www.jstor.org/journal/bullamersocipapy,Archaeology,1963-01-01 - 2014-01-01,Archaeology,Social Sciences,,,,,,,,,1/1/1963 0:00,2014,,,
Central States Archaeological Journal,0008-9559,http://www.jstor.org/journal/centstatarchj,Archaeology,1954-07-01 - 2014-10-01,Archaeology,Social Sciences,,,,,,,,,7/1/1954 0:00,2014,,jillstaarcsoc,
Corinth,1558-7185,http://www.jstor.org/journal/coriresuexca,Archaeology,1929-01-01 - 2013-01-01,Archaeology,Art & Art History,Arts,Classical Studies,Humanities,Social Sciences,,,,,1/1/1929 0:00,2013,,,
Glasgow Archaeological Journal,0305-8980,http://www.jstor.org/journal/glasarchj,Archaeology,1969-01-01 - 1991-01-01,Archaeology,Social Sciences,,,,,,,,,1/1/1969 0:00,1991,scotarchj,tranglasarchsoci,
Hesperia Supplements,1064-1173,http://www.jstor.org/journal/hespsupp,Archaeology,1937-01-01 - 2013-01-01,Archaeology,Architecture & Architectural History,Art & Art History,Arts,Classical Studies,Humanities,Social Sciences,,,,1/1/1937 0:00,2013,,,
Hesperia: Journal of the American School of Classical Studies at Athens,0018-098X,http://www.jstor.org/journal/hesperia,Archaeology,1932-01-01 - 2014-12-01,Archaeology,Architecture & Architectural History,Art & Art History,Arts,Classical Studies,Humanities,Social Sciences,,,,1/1/1932 0:00,2014,,,
Historical Archaeology,0440-9213,http://www.jstor.org/journal/histarch,Archaeology,1967-01-01 - 2014-01-01,Archaeology,Social Sciences,,,,,,,,,1/1/1967 0:00,2014,,,
IA. Journal of the Society for Industrial Archeology,0160-1040,http://www.jstor.org/journal/iajsocinduarch,Archaeology,1975-07-01 - 2014-01-01,Archaeology,History,History of Science & Technology,Social Sciences,,,,,,,7/1/1975 0:00,2014,,,
International Journal of Historical Archaeology,1092-7697,http://www.jstor.org/journal/intjhistarch,Archaeology,1997-03-01 - 2014-12-01,Archaeology,Social Sciences,,,,,,,,,3/1/1997 0:00,2014,,,
Iraq,0021-0889,http://www.jstor.org/journal/iraq,Archaeology,1934-01-01 - 2012-01-01,Archaeology,Area Studies,Middle East Studies,Social Sciences,,,,,,,1/1/1934 0:00,2012,,,
