2019-03-03 06:14:03 INFO     Connecting to DB
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_41840228]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_41843151]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_41554698]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_44815673]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_44817435]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_30124563]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_41229818]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_2391625]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_43294474]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_30124940]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_30115612]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_3011378]
2019-03-03 06:14:07 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_41844767]
2019-03-03 06:14:07 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_41484808]
2019-03-03 06:14:07 INFO     Mission Complete
